DAT,temperature
0,19.50386381
1,19.45023148
2,19.55860918
3,20.73145448
4,21.12449556
5,21.12508005
6,20.90882464
7,21.17378472
8,21.17177083
9,21.10750868
10,21.15236979
11,21.10502604
12,21.21786458
13,20.96959201
14,20.94800347
15,21.06948785
16,21.2690191
17,21.32857639
18,21.31103299
19,21.30169271
20,21.22728299
21,21.21101563
22,21.1830816
23,21.17896701
24,21.14853299
25,21.11663194
26,21.13286458
27,21.1640191
28,21.19512153
29,21.20262153
30,21.17337674
31,21.18985243
32,21.16128472
33,21.15317708
34,21.204375
35,21.0944213
36,21.13363426
37,21.1693287
38,21.07703704
39,21.15555556
40,21.13292824
41,21.08280671
42,21.13681235
43,21.06469329
44,21.04561921
45,20.99629051
46,20.96882523
47,20.96632523
48,20.9227662
49,20.93340278
50,21.12044213
51,21.0819375
52,21.14224306
53,21.28211111
54,21.23579861
55,21.15351389
56,21.08784028
57,21.19094444
58,21.25854514
59,21.28675521
60,21.28252083
61,21.22615972
62,21.25238021
63,21.11896528
64,21.10438021
65,21.05785243
66,21.08834549
67,21.1625434
68,21.20502778
69,21.28489063
70,21.24314757
71,21.16928993
72,21.12828646
73,21.06463194
74,21.06501389
75,21.04671528
76,21.07822222
77,21.13117361
78,21.13668056
79,21.11077778
80,21.13710417
81,21.18151389
82,21.2089919
83,21.23300579
84,21.15287616
85,21.03022222
86,21.03022222
87,21.03022222
88,21.03022222
89,21.03022222
90,21.03022222
91,21.03022222
92,21.03022222
93,21.03022222
94,21.03022222
95,21.03022222
96,21.03022222
97,21.03022222
98,21.03022222
99,21.03022222
100,21.03022222
101,21.03022222
102,21.03022222
103,21.03022222
104,21.03022222
105,21.03022222
106,21.03022222
107,21.03022222
108,21.03022222
109,21.03022222
110,21.03022222
111,21.03022222
112,21.03022222
113,21.03022222
114,21.03022222
115,21.03022222
116,21.03022222
117,21.03022222
118,21.03022222
119,21.03022222
120,21.03022222
121,21.03022222
122,21.03022222
123,21.03022222
124,21.03022222
125,21.03022222
126,21.03022222
127,21.03022222
128,21.03022222
129,21.03022222
130,21.03022222
131,21.03022222
132,21.03022222
133,21.03022222
134,21.03022222
135,21.03022222
136,21.03022222
137,21.03022222
138,21.03022222
139,21.03022222
140,21.03022222
141,21.03022222
142,21.03022222
143,21.03022222
144,21.03022222
145,21.03022222
146,21.03022222
147,21.03022222
148,21.03022222
149,21.03022222
150,21.03022222
151,21.03022222
152,21.03022222
153,21.03022222
154,21.03022222
155,21.03022222
156,21.03022222
157,21.03022222
158,21.03022222
159,21.03022222
160,21.03022222
161,21.03022222
162,21.03022222
163,21.03022222
164,21.03022222
165,21.03022222
166,21.03022222
167,21.03022222
168,21.03022222
169,21.03022222
170,21.03022222
171,21.03022222
172,21.03022222
173,21.03022222
174,21.03022222
175,21.03022222
176,21.03022222
177,21.03022222
178,21.03022222
179,21.03022222
180,21.03022222
181,21.03022222
182,21.03022222
